Metabolite_name	RefMet_name	CRA002	CRA004	CRA008	CRA009	CRA010	CRA013	CRA014	CRA019	CRA022	CRA023	CRA026	CRA027	CRA033	CRA036	CRA001	CRA003	CRA005	CRA006	CRA007	CRA011	CRA012	CRA015	CRA016	CRA017	CRA018	CRA020	CRA021	CRA024	CRA025	CRA028	CRA029	CRA030	CRA031	CRA032	CRA034	CRA035	CRA037	CRC001	CRC003	CRC004	CRC005	CRC007	CRC008	CRC011	CRC012	CRC014	CRC015	CRC019	CRC023	CRC025	CRC026	CRC027	CRC031	CRC002	CRC006	CRC009	CRC010	CRC013	CRC016	CRC017	CRC018	CRC020	CRC021	CRC022	CRC024	CRC028	CRC029	CRC030	CRC032	CRC033	CRC034	CRC035	HC001	HC002	HC003	HC004	HC006	HC009	HC012	HC015	HC016	HC017	HC018	HC019	HC020	HC021	HC024	HC025	HC026	HC027	HC005	HC007	HC008	HC010	HC011	HC013	HC014	HC022	HC023	HC028	HC029	HC030
11_12-EET	11,12-EpETrE	33631	3693.9000	1254.8000	8411	20059	47877	18707	89194	169280	29708	32918	665190	6944.5000	16160	16205	34256	26133	1054.8000	63809	15061	16984	14995	625.7500	1123.3000	28383	26884	40586	5871.1000	61859	49695	28583	21593	5474.3000	2724	721.7300	20671	3887.6000	21647	18065	28828	62560	122990	1289.6000	65086	135350	71336	125200	2920.8000	8895.4000	12563	11947	8663.5000	4629.1000	5849.5000	3880	9248.4000	37276	9900.8000	42808	841.7000	24592	11103	1079.2000	44742	26190	18960	11940	11243	1255.5000	4209.4000	1074.4000	3899.2000	10350	1051.6000	30954	3702.6000	957.9000	13745	824.3500	15951	2072.5000	4070.6000	4328.6000	4181.7000	1287.1000	7270.7000	2946.1000	3765.6000	7759.2000	10477	2180.9000	1885.7000	1044.9000	2933	2051.8000	18493	2314.3000	4915.3000	3138.6000	4213.2000	13003	12039
11-HEDE		181930	18550	63754	12192	28541	94271	11144	63557	168610	26840	38985	481180	41765	68498	81808	50529	52277	5311.3000	42780	22043	7512.6000	58971	22189	4449.7000	14230	23539	76640	12317	95288	41719	17575	67789	46060	21409	9323.5000	47628	20607	55534	44420	77382	134220	175690	32636	52037	116920	53089	78247	12762	9239.2000	11721	16773	21945	8848.8000	48802	12363	12375	38996	11314	69936	15021	33426	11632	6104.4000	41626	58606	47094	61697	43396	3323	43922	34005	11706	21060	1676	43882	14973	7949.5000	9041.9000	11766	28495	9903.1000	3274	24885	11416	4955.7000	2846.7000	8948.5000	7529.4000	3936.9000	12704	7161	2035.6000	3529.7000	5932	6225.9000	26056	5059.1000	40052	3188.2000	9321.1000	15111	17692
12_13-DiHOME	12,13-DiHOME	4373200	10866000	9138300	3276200	4203400	8263200	4714500	413280	94588	20827000	1997500	3383700	2625900	28073000	16561000	2240900	600140	748020	2080900	498560	817760	16784000	1043800	103350	189960	12516000	3676800	4003000	427820	4178000	1822000	7069400	10851000	3668700	7468900	22023000	8109000	965650	903760	8788300	2163700	2199800	405550	578320	2822300	22844000	2858000	9167800	5116100	698790	11658000	12559000	50491000	1963000	1382400	2779400	11319000	914200	9841800	7589200	14863000	2474200	6963100	6459500	8902800	6139100	1354000	2929700	831870	5117900	887600	10938000	8022000	20364000	50558000	14306000	39724000	15341000	13684000	36266000	39622000	11136000	30245000	10325000	35345000	17134000	8349400	4071300	6389700	31107000	31336000	23559000	30746000	18077000	39954000	71196000	37057000	9271700	10615000	6992000	5120000	10610000
12_13-EpOME	12(13)-EpOME	780990	1211700	1636200	3152000	1387500	5957100	274760	184350	94366	2840100	307060	2119700	151700	1129200	9521900	6977000	343540	22089	505820	157880	244610	7039200	30002	4660.5000	54239	654540	548050	294080	73860	376170	155590	2604000	1843100	105870	213800	1857600	383050	1376600	72723	1495200	414540	2628100	207920	29708	1240600	832310	1209200	52079	509520	15187	910310	250720	229720	845200	27971	122530	78926	87655	392790	597900	1547800	163540	685580	783880	174720	2661000	310630	236380	10435	651960	5038.2000	480970	559880	378880	1219600	133280	608110	1720000	965110	484290	1497900	2039200	847310	427620	791440	640040	269710	32869	144220	2369200	582170	293390	872860	583000	539260	799170	371820	4566500	120790	231840	91657	1467300
(±)12-HETE	12-HETE	97719	11710	7019.5000	24400	99195	79202	49039	229700	371730	33607	112630	1245400	19287	30710	112880	84773	56537	2679.8000	149620	50338	91219	52043	5250.1000	9851.3000	69805	104300	185140	27731	138240	144350	73461	92846	18845	4230.7000	4439.1000	90012	4975.8000	85945	55674	255470	219200	398600	11126	178600	357560	299970	295440	7269.4000	29764	59432	46531	45679	152820	15179	28666	24861	71303	17959	234610	9257.4000	341870	53360	9744.4000	128130	110970	38711	35170	36342	572.1700	19171	15389	18498	29399	8915.6000	158970	33234	12229	29421	6564.6000	27470	11518	7639.8000	7776.1000	7541.7000	8651.2000	27136	9721.7000	11540	19434	175490	8615.1000	25858	17758	9057.3000	84308	95242	10030	18551	17711	21875	55964	76787
12-Hydroxyoctadecanoic acid	12-Hydroxy stearic acid	11066000	17181000	11215000	12339000	9898300	21584000	2729100	2722000	24295000	34621000	20007000	11536000	18248000	27443000	26648000	4125400	12063000	4271300	84843000	5886400	1445600	33466000	4328300	3353700	671950	15032000	11634000	15660000	5609300	9323600	13910000	25835000	20316000	18114000	12863000	23486000	28498000	700620	7699600	120530000	15301000	17562000	16918000	18684000	8396900	17834000	5829900	12299000	18531000	6043200	19420000	12669000	19375000	12289000	9762400	7082700	9387700	2756200	43053000	20011000	29876000	25744000	16672000	15503000	4982000	8635000	25926000	24507000	3646600	6833400	3404600	11771000	6781300	14439000	48206000	15859000	8495900	21523000	20221000	24492000	25158000	7154200	17748000	18496000	8466000	5368100	13652000	8241100	7533100	25415000	24404000	11993000	11859000	14259000	19704000	15589000	14735000	85928000	3193800	16557000	18032000	26991000
12-ketolithocholic acid	12-Ketolithocholic acid	9	65420000	156230000	328330000	56993000	113520000	384030000	9	9	54013000	19475000	13965000	9	237920000	15363000	189320000	233150000	114380000	110650000	77727000	89020000	358910000	102370000	11370000	9	9	192270000	9	4899700	4620500	9	230210000	9	353370000	469590000	14347000	9	4385800	222760000	114670000	53805000	87554000	210010000	9	67366000	69835000	94755000	113970000	392840000	16087000	489520000	136640000	426620000	186600000	68042000	48814000	9	3265000	42040000	212550000	228810000	10415000	344070000	31695000	39475000	297340000	146230000	212820000	104420000	53747000	9233200	404630000	377270000	352500000	291950000	447340000	274180000	273000000	325610000	9	279560000	287120000	9	201660000	247050000	9	9	182790000	77561000	190330000	589190000	372900000	243900000	412440000	317680000	164260000	397220000	9	428680000	437420000	26946000	276210000
12-OxoETE	12-Oxo-ETE	39779	6705.6000	6399.4000	7776	28855	19282	16229	147850	94326	13514	42190	139080	18209	39047	35132	37276	59811	2707.2000	82368	30807	46289	17812	8434.6000	15169	93586	64925	31182	19738	160590	147920	108080	62839	24802	2195.5000	4691.7000	33546	6703.1000	120040	59527	126030	118620	72620	8391.2000	50379	239670	63848	159100	5396.9000	53596	41389	27087	33055	29522	51355	12346	32800	39006	10281	46349	6506.8000	35991	24675	4161.9000	79984	69268	32714	8014.2000	76632	776.1900	3622.1000	32676	8099.5000	8080.9000	3714.4000	29488	63225	3630	9864	3433.9000	13887	478.2100	2713.2000	11769	5859.5000	7751	19626	13057	10240	6943.2000	30651	850.1600	11104	5763.9000	5533.2000	28711	43486	9507	8529.1000	11307	13007	9677.7000	22055
13-HOTrE	13S-HOTrE	92603	41037	19917	73831	15675	552770	23423	6789.6000	11860	108600	18588	4065900	5062.2000	30371	1681800	107730	19115	9	22880	2823.7000	11287	272760	9	1894.1000	3301.4000	43287	124960	15354	17430	9699.1000	6691.3000	44894	124110	43448	19451	210190	33537	259530	3982.2000	46015	215280	376640	18138	19103	64056	102520	385810	29567	36752	20437	61343	86256	42572	39432	5062.7000	26365	21015	6599	118630	33884	98937	11200	24556	78218	11945	43907	7648.9000	29240	9	131030	9	55368	41526	60299	101970	36740	193780	155280	155540	92433	38046	23244	120130	36165	31392	39554	42467	18984	12706	92774	6463.6000	5546.5000	20345	52029	39591	68460	24921	21742	3361.3000	72893	24394	58762
13-oxoODE	13-Oxo-ODE	86108	67008	266280	366600	78635	638580	33053	27034	5978.6000	126790	40083	101710	29374	160490	1358700	2369200	72144	6416.6000	27628	33333	36284	705650	6693.6000	3498.6000	9797.3000	68748	65247	14724	35419	59258	28863	427040	211850	23719	30891	95754	56388	233470	14482	109420	80183	590750	79958	2954.5000	111400	57632	254850	12650	102640	1939.7000	151670	35140	37063	281500	3921.2000	16826	8565.7000	12962	56646	163810	117700	28074	45635	252590	15947	1096500	31671	119970	7810.4000	41610	2902.4000	120980	112270	130330	156850	57217	59839	549380	72091	54859	169500	273910	236390	52547	34664	35031	41865	9437.3000	23762	180680	48019	56351	294200	149310	74204	74129	101850	342930	28546	40794	9229.6000	140550
