Metabolite_name	RefMet_name	CRA002	CRA004	CRA008	CRA009	CRA010	CRA013	CRA014	CRA019	CRA022	CRA023	CRA026	CRA027	CRA033	CRA036	CRA001	CRA003	CRA005	CRA006	CRA007	CRA011	CRA012	CRA015	CRA016	CRA017	CRA018	CRA020	CRA021	CRA024	CRA025	CRA028	CRA029	CRA030	CRA031	CRA032	CRA034	CRA035	CRA037	CRC001	CRC003	CRC004	CRC005	CRC007	CRC008	CRC011	CRC012	CRC014	CRC015	CRC019	CRC023	CRC025	CRC026	CRC027	CRC031	CRC002	CRC006	CRC009	CRC010	CRC013	CRC016	CRC017	CRC018	CRC020	CRC021	CRC022	CRC024	CRC028	CRC029	CRC030	CRC032	CRC033	CRC034	CRC035	HC001	HC002	HC003	HC004	HC006	HC009	HC012	HC015	HC016	HC017	HC018	HC019	HC020	HC021	HC024	HC025	HC026	HC027	HC005	HC007	HC008	HC010	HC011	HC013	HC014	HC022	HC023	HC028	HC029	HC030
10-Formyl-Thf	N10-Formyl-THF	60481	338360	391000	15882	3565000	67444	19575000	19651	4265.5000	3164400	50592	191020	1936700	15525	28072	8978.5000	359550	610040	287350	273380	2202000	4713200	42129	13909	10282	2106600	51893	1896100	7526.3000	47948	1780800	9928900	4634600	7861100	5695.9000	6752000	5347500	819210	38089	33844	95826	21715	86102	411340	1193400	7948000	14465	72854	110830	554600	16384	64364	17055	47690	4188.1000	5027300	229970	960840	256520	49256	1252400	14983000	29812000	47349	182700	9	7295.8000	5587	1598400	164900	14472	23061	17089	42207	2364300	21055	15756	9760400	79723	10985000	27579000	45444	31756000	269540	1442800	11119000	2839600	36443	252430	140550	164540	48736	69515	29595	170140	4533400	172320	5082200	10451	97468	939570	50005
1-(2_4-Dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one	O-Desmethylangolensin	40098	24963	8393.7000	9	15496	9	7592.7000	3380.6000	2690.1000	47959	45574	55747	375040	5430300	18767	101140	8489.2000	157460	9	13235	126380	2984	24846	9	9	9782.4000	8523.5000	9	9	11405	6732.5000	9	20596	49131	653000	248150	9	1581.9000	48483	11340	261560	904360	5777.4000	11498	7248.9000	7990200	78836	182940	448420	205580	18415000	15289000	29461000	27020000	44018	22362	6862.6000	6472.4000	887060	2486100	753910	13211	107700	54399	82362	175190	11010	15245	104570	174140	7647.8000	1052900	1338100	1031900	1911900	581910	1659800	100790	3688100	18588	412330	68629	21040	6883600	1851100	21419	9	460000	968120	81599	63358	4358000	8927700	456920	1457800	6109500	568230	9	5715.2000	2323200	24129	19694000
1_3-Dicyclohexylurea	1,3-Dicyclohexylurea	60693	60035	67689	48670	56792	80574	33694	132690	68621	55468	112460	53343	33788	102220	71243	72576	97100	61101	92057	31154	67311	78292	22609	69335	66899	98877	55768	104790	66532	71547	40508	26577	107320	77531	67322	95958	57132	61279	67503	56920	92743	85152	92084	95695	93685	55758	74278	60438	66323	80122	72095	83329	81583	59887	82743	69021	55867	72349	54179	77508	144820	97607	65880	77059	86760	65870	93947	49149	48960	71302	54772	63512	75532	63685	42089	72758	83641	80425	90638	68870	49034	93894	57716	48997	83221	95000	97801	77006	110690	97507	79871	81437	60753	96875	61755	56512	90845	50109	71387	89640	75095	86697
1_4-Dihydro-1-Methyl-4-Oxo-3-Pyridinecarboxamide	N1-Methyl-4-pyridone-3-carboxamide	319350	695690	398210	388800	302570	275310	695070	2163500	370830	290580	1032600	207600	1815800	271820	517600	105920	458780	3308900	333040	676570	3062900	1653400	760490	190200	729880	835910	645290	1017800	188740	639020	679480	607130	394070	332950	240420	117660	1339800	856990	1447000	3132800	95767	216550	140520	5284800	698110	1774200	282910	399620	63085	1973100	318170	721590	245880	61603	299090	264470	582070	789170	443610	37516	261660	361320	759530	1646.5000	555440	115560	479130	514080	3278300	298800	577010	192450	210710	207300	283360	10946	848130	317450	92176	2140000	556750	307650	5053000	736170	625920	812310	1049000	22573	1250500	687170	262200	37533	60116	356370	586400	376380	296030	500950	387810	274730	181820	637180
15-keto Prostaglandin E1	15-Keto-PGE1	117510000	107260000	1456500	44229	7078300	209210	159260	20141000	5858600	43377000	46853000	129550000	28450000	12815000	168590000	19896	615640	2560800	41492000	10373000	1793400	32655000	16881000	209350	79822000	22580000	2147000	59435000	72408	16078000	65207000	42925000	21092000	15862000	162340	12088000	53915000	224370	591410	67826	21471	404000	686690	901620	12519000	3017300	15202	67028	341410	3948900	5502300	7928300	413940	106490	256140	14638000	18691000	7996900	316260	19350	25389000	21683000	2449400	24296	845270	65141	12515000	90097	2672700	3667700	201790	2256500	72171	132480	26934000	267700	20413000	10609000	183010	12328000	6989400	1433300	44345000	127650	4157500	52956000	79166000	44239	8544300	9330100	30612000	628020	62293	249500	24548	9910400	656140	3457900	324710	686330	41814	1920800
16-Dehydroprogesterone	16,17-Didehydroprogesterone	174440	174710	223420	127700	44619	55683	66288	549750	72370	35140	34649	250010	399380	109880	1194900	179160	159440	25700	392640	354290	168720	851140	254650	270200	12687	182600	313340	195000	147330	199260	150370	114520	125080	318400	155890	9	264380	324210	180810	33660	212430	536430	231010	46775	148820	281730	60154	123160	578380	160650	121420	112630	156540	176500	55922	161540	39966	55755	38163	54202	22887	189260	17183	129800	193570	156900	47320	193840	187170	30885	182210	191420	50616	97179	21102	112770	167260	63577	54145	97060	96062	15205	316740	43781	119170	75132	70480	105650	35934	31887	202590	129550	88692	49351	24295	50932	14349	67703	53425	68045	53555	17748
1_7-Dimethylxanthine	Paraxanthine	116260	818910	9258000	40969	53135	7405100	12358	122900	1375600	832540	4184.4000	12482	9479	34355	5748900	97931	17076	9	5048.2000	7348500	233410	104430	14642	23858000	35093	2252800	664420	38243	2478400	672600	9	322610	14914	7114.7000	4403.5000	734910	15427	98554	11455	101770	45307	9753.9000	139420	726080	9	573190	12993000	1299500	16597	40682	63191	113040	15244	214030	4755200	3446400	45522	9472.4000	26678	6848400	4622	486980	1484600	9	14697	473780	25845	27053	9	2607800	9	24792000	9	34301000	9	28909	598660	92554	3502100	29572	14038000	590320	45194000	1639500	15640000	11231	5139700	9	6310400	104520	1290800	1242000	20135000	8893700	263470	109560	3790800	8240	10334000	37210000	44188	13193000
18ß-Glycyrrhetinic acid	Glycyrrhetinic acid	317300000	2378500	363360000	395670000	391570000	345250000	396780000	327020	55618000	375460000	10001000	350420000	350990000	1511800	762950	401750000	515040000	144400000	476020000	1117500	745420000	1134000	284950000	2057100	9	297990000	386080000	483430	554100	190940000	337720000	25204000	140240000	25695000	371010000	174540000	394880	719390	17923000	8438400	6379700	13020000	5471100	1085200	1309200	1350300	4550100	33057000	50505000	258060000	617370000	351070000	64086000	11558000	1249200	603410	225220	4503400	501270	27977000	1860600	1925600	2263500	4111500	148830	2683900	819740	334560000	106640000	12364000	214020000	369160000	8644800	30007000	28631000	60808000	139570000	75667000	122730000	25342000	14052000	125300000	107860000	21314000	8245800	173640000	4795500	13696000	2999300	139040000	343980000	69951000	61929000	40663000	294580000	236750000	20058000	424670	5002000	13670000	1744300	2536600
1-Acetylindole		1467800	788590	562330	812340	894240	661990	848800	1061300	1200100	1645100	1326800	1074300	951850	1180000	390810	1638300	1567600	1593100	1328600	1771500	1110300	1245600	788050	141400	1318500	1169600	1473500	1882500	559740	665010	786700	1069800	1670400	521270	1026000	1392600	855340	768980	1115900	1181300	804150	1034200	602310	505410	1540200	584640	699070	564100	746440	528610	729010	402260	1095100	595990	654520	790440	856760	942570	650940	413520	477710	707280	606220	793630	1272500	1070900	1311200	563820	1396600	671130	672930	578590	506910	625300	966570	711860	363150	498650	645150	589410	526430	899630	626960	534020	322000	676880	705350	341600	1658200	722300	488660	514370	317120	375870	505220	1777500	244320	1714100	828890	609800	531170	728280
1-amino-1-cyclobutane carboxylic acid		204470000	112120000	120330000	88937000	171230000	290630000	74112000	259160000	222630000	139450000	110690000	161460000	256110000	214750000	55717000	404980000	441870000	100600000	183120000	455960000	153540000	274840000	68098000	77377000	133990000	147700000	389760000	69170000	246550000	203340000	62134000	109160000	59315000	57474000	209230000	163050000	58582000	127670000	212480000	177080000	149050000	181470000	122930000	73909000	221030000	54302000	119910000	174400000	302930000	47434000	144280000	144260000	264560000	284110000	22473000	67430000	47417000	48452000	63049000	267890000	101700000	45499000	81517000	234520000	198420000	337160000	62189000	145980000	117400000	44313000	177890000	168580000	64586000	289120000	23982000	155980000	52593000	92860000	92434000	220670000	58864000	180640000	277130000	142120000	160340000	517240000	82423000	169120000	76110000	33601000	115600000	75586000	64987000	60673000	71958000	35325000	70802000	18825000	159360000	204270000	32403000	36275000
